year,decile,welf,tinc,share,minc
1993.0,6,4.202174579157943,126.4365102688105,3.323545208756478,12.643651026881049
1993.0,7,6.035343757377959,126.4365102688105,4.773418488493956,12.643651026881049
1993.0,8,10.553143896213466,126.4365102688105,8.346595357446155,12.643651026881049
1993.0,9,24.13685966270283,126.4365102688105,19.090102701653684,12.643651026881049
1993.0,10,71.24795256532695,126.4365102688105,56.35077432448124,12.643651026881049
1994.0,1,0.9617627252864149,127.98884438142639,0.7514426198116255,12.79888443814264
1994.0,2,1.618831445107254,127.98884438142639,1.264822299889581,12.79888443814264
1994.0,3,2.122972160083928,127.98884438142639,1.6587165626381823,12.79888443814264
1994.0,4,2.653629084450381,127.98884438142639,2.073328419578631,12.79888443814264
1994.0,5,3.3117520799376066,127.98884438142639,2.587531824311248,12.79888443814264
1994.0,6,4.273636189581283,127.98884438142639,3.3390692839175826,12.79888443814264
1994.0,7,6.043062666656812,127.98884438142639,4.721554207214778,12.79888443814264
1994.0,8,10.472539591280377,127.98884438142639,8.182384677269686,12.79888443814264
1994.0,9,24.325768599614474,127.98884438142639,19.00616316772105,12.79888443814264
1994.0,10,72.20488983942785,127.98884438142639,56.414986937647626,12.79888443814264
1995.0,1,0.9960736496928027,130.4950656995195,0.763303688421738,13.04950656995195
1995.0,2,1.6803236829460766,130.4950656995195,1.287653041851577,13.04950656995195
1995.0,3,2.199668359537072,130.4950656995195,1.6856333591969457,13.04950656995195
1995.0,4,2.737405113949798,130.4950656995195,2.097707755673307,13.04950656995195
1995.0,5,3.4028279445073917,130.4950656995195,2.607629588342298,13.04950656995195
1995.0,6,4.390227111695963,130.4950656995195,3.3642859123922633,13.04950656995195
1995.0,7,6.233262419798861,130.4950656995195,4.776626906454604,13.04950656995195
1995.0,8,10.824215198622893,130.4950656995195,8.294731406585857,13.04950656995195
1995.0,9,24.82198915093243,130.4950656995195,19.021400554782687,13.04950656995195
1995.0,10,73.2090730678362,130.4950656995195,56.101027786298715,13.04950656995195
1996.0,1,1.0264590666870554,131.77817994313537,0.778929460954758,13.177817994313537
1996.0,2,1.7366003201655755,131.77817994313537,1.3178208417470552,13.177817994313537
1996.0,3,2.270378156367728,131.77817994313537,1.7228786718312825,13.177817994313537
1996.0,4,2.818070098056021,131.77817994313537,2.138495234394699,13.177817994313537
1996.0,5,3.4909249566072655,131.77817994313537,2.649091798136582,13.177817994313537
1996.0,6,4.481963141894611,131.77817994313537,3.4011420887954733,13.177817994313537
1996.0,7,6.283295863827396,131.77817994313537,4.768085176573807,13.177817994313537
1996.0,8,10.735355303173318,131.77817994313537,8.146534811609794,13.177817994313537
1996.0,9,24.885911623390157,131.77817994313537,18.884698236179062,13.177817994313537
1996.0,10,74.04922141296623,131.77817994313537,56.19232367977748,13.177817994313537
